Article Name,Article Link,Site Name,Type
False Claim: COVID-19 Was Stolen from a Canadian Lab,https://factcheck.afp.com/chinese-spies-did-not-steal-deadly-coronavirus-canada,AFP,Fake
Fake News: Calgary Mayor Testified COVID-19 Is a Hoax,https://factcheck.afp.com/doc.afp.com.9LD7CD?utm,AFP,Type
Fact Check: CNN headline on COVID-19 injections in penis is fake,https://www.reuters.com/fact-check/cnn-headline-covid-19-injections-penis-is-fake-2024-02-20/,CNN,Fake
Health Canada approves Novavax's updated COVID-19 vaccine for fall,https://www.cbc.ca/news/health/novavax-covid-vaccine-2024-2025-1.7328401,CBC,Real
"Says Cleveland Clinic said, “Millions of COVID-vaxxed will die within ‘5 years.’”",https://www.politifact.com/factchecks/2025/apr/04/facebook-posts/cleveland-clinic-didnt-say-millions-of-people-with/,PolitiFact,Fake
Thousands Believe Covid Vaccines Harmed Them. Is Anyone Listening?,https://www.nytimes.com/2024/05/03/health/covid-vaccines-side-effects.html,The New York Times,Real
"5 years later, long Covid is still a medical mystery: What scientists have learned",https://www.nbcnews.com/health/health-news/5-years-later-long-covid-still-medical-mystery-scientists-learned-rcna195608,NBC News,Real
Do the Covid vaccines provide long-lasting protection?,https://www.nbcnews.com/health/health-news/durable-are-mrna-covid-vaccines-rcna178457,NBC News,Real
"CIA shifts assessment on Covid origins, saying lab leak likely caused outbreak",https://www.nbcnews.com/politics/politics-news/cia-shifts-assessment-covid-origins-saying-lab-leak-likely-caused-outb-rcna189284,NBC News,Real
Staying Up to Date with COVID-19 Vaccines,https://www.cdc.gov/covid/vaccines/stay-up-to-date.html,CDC,Real
"Kathy Hochul said ""We are No. 1 among all large states in having fully vaccinated teenagers. We are No. 2 in all large states for having fully vaccinated five- to 11- year-olds.""",https://www.politifact.com/factchecks/2022/mar/11/kathy-hochul/new-york-leader-vaccines-young-people-among-large-/,PolitiFact,Real
